NAME:,run_4_2.csv,,
EXPERIMENT TIME:,25/05/2022 17:02,,
ACTIVITY TYPE:,Walking,,
COUNT OF ACTUAL STEPS,158,,
,,,
Time [sec],ACC X,ACC Y,ACC Z
0,-6.39,1.1,6.94
0.041,-6.59,1.02,8.83
0.082,-5.41,1.26,8.55
0.123,-5.69,1.06,7.45
0.164,-4.43,0.2,5.1
0.205,-5.1,-0.35,4.94
0.246,-6.35,-0.47,7.45
0.287,-5.26,-0.35,8.12
0.328,-7.22,-0.08,8.43
0.369,-9.14,-0.59,10.16
0.41,-7.53,0.04,9.73
0.451,-5.26,0.04,9.34
0.492,-8.16,-0.2,12.2
0.533,-10.98,1.1,16.32
0.574,-12.59,0.86,16.99
0.615,-10.32,-4.82,11.18
0.656,-3.22,-3.8,4.16
0.697,2.55,-1.22,3.84
0.738,7.02,-2.39,1.73
0.779,8.43,-2.16,-0.16
0.82,3.65,-3.69,-1.37
0.861,-1.1,-6.86,2.43
0.902,-1.37,-6.2,19.93
0.943,-2.86,-10.71,20.01
0.984,-5.61,-16.44,20.01
1.025,-8.12,-10.43,3.45
1.066,-5.49,3.61,-4.16
1.107,-6.59,8.51,-7.45
1.148,-6.2,5.61,-5.06
1.189,-5.45,1.77,0.24
1.23,-5.61,0.86,8
1.271,-6.83,-5.18,19.46
1.312,-4.24,-8.36,20.01
1.353,-4,-14.83,20.01
1.394,-1.14,-11.69,20.01
1.435,1.41,-4.55,14.44
1.476,2.43,-1.22,0.63
1.517,5.14,-0.47,-2.98
1.558,6.67,0.35,1.1
1.599,4.08,-3.73,7.37
1.64,2.12,-9.89,18.83
1.681,1.33,-13.61,20.01
1.722,-3.77,-20.01,20.01
1.763,-3.45,-12.79,20.01
1.804,-1.33,-1.26,8.83
1.845,-1.8,8.63,5.92
1.886,-2.47,7.53,-0.24
1.927,-3.69,2.24,1.61
1.968,-4.59,-1.88,6.94
2.009,-5.96,-6.83,19.85
2.05,-5.57,-9.1,20.01
2.091,-1.22,-17.73,20.01
2.132,-7.61,-20.01,20.01
2.173,0.94,-4.86,12.98
2.214,5.61,3.26,3.37
2.255,4.9,2.16,-2.94
2.296,6.71,2.08,-1.53
2.337,4.31,-3.53,6.47
2.378,4.86,-9.96,18.04
2.419,3.69,-14.12,20.01
2.46,-1.18,-19.02,20.01
2.501,-1.14,-16.48,20.01
2.542,-1.26,-9.69,13.73
2.583,-2.43,0.86,11.26
2.624,1.14,9.92,7.57
2.665,-0.78,6.47,3.3
2.706,-3.65,0.39,5.65
2.747,-3.8,-1.65,10.94
2.788,-3.88,-3.37,20.01
2.829,-7.77,-7.37,20.01
2.87,-6.83,-17.34,20.01
2.911,-3.88,-15.02,20.01
2.952,4.2,-5.41,18.24
2.993,4.75,-2.16,8.98
3.034,7.96,0.24,4.75
3.075,7.77,0.63,5.45
3.116,4.82,-5.53,11.69
3.157,4.51,-8.94,20.01
3.198,3.65,-15.89,20.01
3.239,-7.14,-20.01,20.01
3.28,-2.98,-16.48,20.01
3.321,-2.28,-7.34,14.47
3.362,-5.06,3.22,10
3.403,-2.35,10.4,5.22
3.444,-4.16,7.69,2.31
3.485,-6,0.78,6.98
3.526,-5.18,-3.37,16.63
3.567,-4.43,-6.55,20.01
3.608,-3.3,-12.75,20.01
3.649,-6.04,-20.01,20.01
3.69,0.24,-11.02,20.01
3.731,4.94,-1.29,11.77
3.772,4.94,-1.29,6.08
3.813,8.39,0.04,3.77
3.854,7.22,-2.47,7.92
3.895,5.14,-5.57,11.85
3.936,4.67,-9.38,15.26
3.977,5.57,-13.1,20.01
4.018,-2.94,-20.01,20.01
4.059,-8.67,-19.85,20.01
4.1,-4.71,0.35,14.98
4.141,-1.73,5.88,10.43
4.182,-3.8,4.39,8.32
4.223,-2.47,3.8,6.71
4.264,-4.24,0.08,11.53
4.305,-4.35,-4.71,16.59
4.346,-5.53,-9.49,20.01
4.387,-6.63,-19.02,20.01
4.428,-7.96,-19.65,20.01
4.469,1.96,-2.08,18.28
4.51,3.41,-0.51,10.98
4.551,3.65,0.08,6.67
4.592,6.2,3.96,3.14
4.633,3.26,-2.39,7.34
4.674,1.26,-7.1,15.89
4.715,4.39,-6.47,20.01
4.756,-4.75,-18.59,20.01
4.797,-5.96,-20.01,20.01
4.838,-1.92,-9.02,18.32
4.879,-2.12,2.35,13.45
4.92,-0.35,7.61,13.02
4.961,0.63,8.16,9.65
5.002,-3.26,0.35,6.63
5.043,-3.65,-3.53,13.18
5.084,-4.28,-5.81,20.01
5.125,-11.69,-15.34,20.01
5.166,-11.77,-20.01,20.01
5.207,-2.59,-8.9,20.01
5.248,8.51,11.22,20.01
5.289,0.16,-2.51,9.34
5.33,3.65,-1.96,4.75
5.371,7.18,-1.73,6.9
5.412,4.51,-4.39,11.69
5.453,1.77,-7.92,13.49
5.494,3.65,-10.75,15.77
5.535,-6.51,-20.01,20.01
5.576,-7.73,-20.01,20.01
5.617,-9.77,-15.77,13.77
5.658,-4.94,1.61,5.96
5.699,-3.49,9.89,10.63
5.74,-2.04,10.55,7.96
5.781,-4.67,3.18,8.59
5.822,-7.14,-4.2,13.65
5.863,-3.96,-5.37,20.01
5.904,-8.51,-14.87,20.01
5.945,-11.38,-20.01,20.01
5.986,-3.41,-15.18,20.01
6.027,4.63,-0.39,15.42
6.068,-1.1,1.73,9.41
6.109,6.28,-1.22,4.9
6.15,5.33,-1.8,7.18
6.191,2.24,-4,13.22
6.232,0.16,-9.34,20.01
6.273,2.16,-16.55,20.01
6.314,-5.14,-20.01,20.01
6.355,-4.51,-20.01,20.01
6.396,-6.63,-6.24,3.02
6.437,-3.92,8.94,6.79
6.478,-3.69,8.36,3.8
6.519,-6.94,1.41,6.43
6.56,-7.18,-1.77,11.69
6.601,-6.12,-3.49,17.77
6.642,-7.77,-5.45,20.01
6.683,-10.79,-17.14,20.01
6.724,-11.38,-11.89,20.01
6.765,-2.43,-3.77,15.97
6.806,0.82,-5.88,12.94
6.847,4.39,-0.55,9.57
6.888,5.14,2.86,3.18
6.929,3.73,0.2,7.81
6.97,2.35,-4.28,13.89
7.011,0.78,-7.02,15.69
7.052,-8.71,-16.44,19.18
7.093,-15.85,-20.01,20.01
7.134,-10.43,-15.42,19.85
7.176,-2.2,-2.04,15.73
7.217,-1.37,-0.35,11.14
7.258,-1.57,2.35,9.3
7.299,-0.51,4.86,10.67
7.34,-4.43,-0.16,10.12
7.381,-9.06,-6.63,13.18
7.422,-7.65,-6.86,19.77
7.463,-16.2,-20.01,13.61
7.504,-16,-19.61,17.46
7.545,,,
