NAME:,walk_2_1.csv,,
EXPERIMENT TIME:,25-05-22 18:07,,
ACTIVITY TYPE:,Walking,,
COUNT OF ACTUAL STEPS:,80,,
,,,
Time [sec],ACC X,ACC Y,ACC Z
0.001,1.06,-3.84,7.37
0.003,0.98,-3.33,8.51
0.063,0.9,-2.82,9.14
0.078,1.22,-1.73,10.36
0.134,0.35,-1.29,12.47
0.203,0.63,-5.37,12.2
0.271,4.59,-4.39,14.67
0.334,2.47,-2.63,12.63
0.352,-4.35,-5.77,13.06
0.355,-1.06,1.45,7.69
0.381,-3.1,-0.24,7.85
0.383,-2,-3.18,8.59
0.394,-4.2,-3.1,9.57
0.413,-0.71,-2.28,5.41
0.436,-1.88,0.04,7.18
0.469,-4.16,0.71,8.94
0.501,-3.06,-0.86,9.3
0.535,-1.26,-1.26,9.73
0.57,-1.88,-0.39,8.75
0.603,-2.16,-1.77,7.73
0.641,-2.35,-2.55,7.73
0.671,-4.94,-1.57,12.43
0.706,-4.67,-1.53,14.95
0.74,-4.16,3.14,14.16
0.777,-3.41,-0.71,15.1
0.809,-5.69,-1.65,13.1
0.843,-9.57,1.69,9.22
0.875,-7.37,2.31,8.24
0.892,-3.45,-7.45,11.49
0.92,-3.45,-3.18,11.73
0.957,-3.88,-1.88,9.65
1.003,-3.45,-0.35,6.47
1.027,-1.41,-2.08,6.2
1.044,-1.02,-2.82,5.53
1.089,-1.22,-2.63,6.79
1.111,-0.24,-2.71,6.2
1.16,0.43,-2.82,7.65
1.192,1.22,-4.28,8.36
1.269,2.47,-2.04,9.34
1.338,-0.27,-1.88,16.51
1.395,3.92,-4.51,13.42
1.427,4.24,-3.49,13.26
1.431,-7.02,-12.4,10.47
1.439,-6.47,-2.2,15.53
1.47,1.73,-2.28,4.71
1.505,-3.49,-2.55,8.94
1.541,-4.24,-1.06,9.45
1.573,-3.92,-1.57,8.32
1.61,-2.51,-1.29,4.51
1.624,-4.24,-0.98,8.28
1.676,-3.02,-1.14,8.79
1.69,-2.51,-0.43,7.85
1.718,-2.63,-0.08,7.65
1.752,-2.98,0.24,8.28
1.786,-3.26,-2.08,12.4
1.817,-2.86,-3.49,13.65
1.866,-4.31,0.9,12.12
1.94,-4.31,-1.77,15.97
2.013,-7.61,-1.88,11.92
2.073,-9.3,4.43,7.49
2.088,-4.51,-2.2,10.16
2.118,-2.67,-8.43,12.28
2.139,-2.2,-4.35,12.51
2.142,-1.88,-3.02,7.96
2.163,-0.35,-1.37,5.57
2.198,0.12,-1.49,5.14
2.234,1.41,-2.98,7.22
2.265,1.37,-4.55,7.41
2.31,2.79,-1.96,8.71
2.341,2.08,-1.53,13.96
2.358,-2.98,-1.49,17.77
2.406,4.43,-5.53,13.53
2.423,2.04,-2.67,14.59
2.457,-5.81,-5.92,10
2.494,1.61,-7.06,5.96
2.566,-2.51,-1.37,12.91
2.636,-1.77,-1.37,8
2.678,-0.59,-4.12,8.63
2.709,-2.43,-1.26,8.36
2.722,-3.02,-0.9,6.39
2.752,-0.9,-1.77,6.94
2.786,-2.75,-0.67,7.77
2.819,-3.06,0.08,9.96
2.856,-1.84,-0.9,11.02
2.89,-3.69,-3.57,13.53
2.903,-4.39,2.04,10.79
2.93,-4.04,0.31,14.44
2.969,-5.1,-6.39,13.61
3.002,-8.67,1.77,6.9
3.034,-6.75,1.84,10.08
3.072,-3.8,-6.35,13.42
3.105,-3.41,-5.65,13.42
3.138,-1.88,-1.18,7.81
3.172,-2.47,-0.86,3.41
3.207,-0.86,-3.1,5.88
3.241,0.35,-2.16,4.51
3.268,0.2,-3.3,5.22
3.306,0.27,-3.1,6.47
3.337,1.88,-3.41,7.61
3.347,2.28,-2.39,9.1
3.38,2.08,-1.02,14.55
3.414,-0.59,-1.69,17.02
3.448,4.39,-5.1,12.79
3.482,2.67,-3.73,13.53
3.517,-6.67,-5.3,11.57
3.555,-3.96,-7.73,10.2
3.593,-2.28,-3.06,11.81
3.619,-1.61,0,9.57
3.953,-0.31,-3.1,8.36
4.458,-4.12,-2.51,9.92
4.498,-2.12,-1.88,6.83
4.51,0.08,-2.86,15.97
4.532,5.53,-5.14,12.98
4.566,4.51,-2.24,10.94
4.605,-7.37,-6.63,10.47
4.637,-8.87,-12.24,12.51
4.672,-1.22,-1.65,13.49
4.706,0.35,1.53,6
4.74,0.55,-3.3,8.16
4.773,-6.71,-1.41,10.71
4.798,-0.9,-1.37,5.69
4.819,-0.71,-1.84,4.63
4.853,-2.55,-1.06,6.83
4.89,-3.26,-0.59,8.94
4.912,-2.55,-0.43,5.53
4.942,-2.86,-0.78,7.45
4.976,-1.49,-0.9,10.75
5.016,-4.71,-3.37,14.51
5.049,-3.92,-0.78,12.79
5.125,-4,2.55,14.2
5.193,-5.61,-3.41,15.61
5.243,-7.45,0.39,9.06
5.263,-9.14,3.73,6.75
5.265,-4.75,-8.47,15.46
5.282,-4.28,-4.04,11.49
5.296,-3.53,0.31,5.14
5.326,2.43,-2.24,2.59
5.358,0.12,-2.24,6.94
5.39,0.67,-2.2,5.02
5.423,0.04,-1.96,4.82
5.456,1.77,-1.77,6.79
5.492,2.08,-4.04,8.43
5.524,2.08,-2.75,11.3
5.558,2.59,-0.27,16.91
5.593,-1.53,-2.9,16.87
5.671,4.86,-4.75,12.71
5.737,-3.65,-8.39,8.28
5.806,-3.06,-6,4.79
5.839,0.94,-1.92,13.14
5.86,-1.8,-0.78,8.12
5.884,-3.14,-2.04,7.22
5.915,-2,-2.43,5.81
5.949,-3.02,-0.27,6.75
5.982,-0.35,-2.08,6.59
6.019,-4.04,-0.55,9.02
6.053,-2.86,0.16,10.04
6.078,-2.98,-1.1,10.28
6.094,-4.67,-3.06,14.36
6.127,-2.63,-2,11.77
6.16,-3.06,2.35,13.61
6.195,-7.45,-2.39,15.26
6.241,-8.28,2.28,9.26
6.274,-5.69,1.65,8.98
6.295,-8.08,-3.88,10.47
6.332,-3.06,-7.49,14.2
6.41,-4.2,-4.2,12.36
6.477,-4.9,1.53,6.04
6.523,2.16,-2.2,2.98
6.526,0.16,-1.61,4.94
6.55,0.71,-2.04,6.32
6.583,2.75,-3.3,8.32
6.615,2.31,-3.18,12.51
6.652,1.92,-2.12,17.34
6.686,1.77,-4.43,13.22
6.712,3.73,-5.22,14.04
6.742,-2.31,-2.63,13.49
6.776,-5.57,-8.87,12.16
6.812,-4.31,-3.1,7.81
6.842,0.2,-0.9,9.1
6.881,-1.18,-1.29,7.65
6.913,-2.9,-2.51,8.75
6.945,-3.53,-1.14,7.3
6.978,-4.51,-0.16,6.32
7.009,-4.9,0.04,6
7.024,-0.67,-1.33,9.96
7.053,-1.69,-0.2,9.22
7.086,-2.51,0.94,7.1
7.118,-2.59,-1.96,7.77
7.152,-5.81,-2.94,15.1
7.187,-3.65,-1.92,13.3
7.224,-5.53,2.2,14.59
7.257,-5.14,-0.94,15.38
7.29,-7.85,-2.86,12.32
7.326,-8.08,2.94,6.12
7.36,-5.3,-0.51,10.28
7.393,-3.8,-7.85,13.57
7.426,-6.24,-4.24,12.94
7.456,-2.12,-0.59,6.9
7.504,-0.9,-0.55,3.37
7.572,-2.94,-3.14,7.18
7.64,0.55,-2.55,5.33
7.679,0.24,-2.39,5.1
7.705,-0.35,-1.92,6.71
7.774,2.04,-3.53,7.81
7.844,2,-2.31,11.18
7.889,0.86,-2.24,16.75
7.928,4.35,-4.98,10.16
7.956,-1.92,-0.31,7.14
7.977,-1.8,-2.12,6.59
8.005,-4.16,-1.84,8.63
8.019,-1.37,-1.1,4.79
8.049,-2.79,-0.63,7.77
8.084,-3.57,0.08,8
8.117,-1.84,-1.57,7.22
8.154,-3.02,-0.31,8.43
8.189,-4.16,-0.51,10.43
8.225,-3.3,-1.92,10.98
8.254,-3.65,-2.98,13.26
8.29,-5.69,-0.86,13.73
8.323,-4.24,1.1,13.26
8.357,-5.92,-2.31,13.42
8.387,-9.81,2.82,8.08
8.402,-6.55,0.27,10.94
8.431,-4.28,-7.49,12.67
8.468,-4.28,-4.71,14.55
8.5,-2.98,-0.51,8.55
8.534,-3.92,0.47,5.92
8.567,1.18,-2.86,2.98
8.599,-0.39,-2.35,5.18
8.637,0.59,-2.47,4.75
8.673,0.63,-2.2,6.39
8.7,2.2,-3.84,7.45
8.733,1.49,-3.61,8.87
8.766,1.92,-2.12,12.87
8.802,0.16,-2.16,18.63
8.836,1.77,-3.69,12.98
8.87,2.98,-6.04,14
8.884,-3.65,-3.49,11.41
8.961,-7.41,-9.85,11.41
9.031,-3.49,-2.59,10.83
9.076,0.39,0.2,8.51
9.104,-0.63,-1.61,6.75
9.106,-2.75,-1.69,9.41
9.108,-2.2,-1.8,5.26
9.136,-4.31,-0.86,6.59
9.169,-2.98,-1.57,8.32
9.201,-1.45,-0.82,8.71
9.237,-2.31,0.47,8.83
9.274,-4.47,-0.59,9.53
9.307,-4.08,-3.41,13.61
9.382,-2.63,-3.96,14.28
9.447,-6.75,1.14,13.89
9.471,-6.16,0.78,14.47
9.473,-7.65,2.35,6.94
9.802,-6.86,-1.73,11.69
10.287,-3.14,-8.08,14.67
10.382,-5.45,-2.86,11.85
10.419,-2.31,-4,12.55
10.431,-3.65,1.45,12.4
10.466,-4.47,-0.31,14.79
10.502,-4.98,-3.02,13.3
10.534,-10.51,2.67,6.71
10.566,-6.16,-1.02,11.1
10.598,-2.24,-7.65,14.71
10.638,-5.57,-4.98,13.73
10.665,-1.84,-1.61,7.34
10.699,-3.37,0.59,3.57
10.735,0.43,-2.82,5.02
10.763,-0.24,-2.43,6.08
10.778,-0.35,-2.82,5.3
10.808,0.16,-2.31,6.9
10.846,1.49,-3.37,8.16
10.881,2.24,-2.51,10.04
10.912,2.59,-1.84,15.49
10.949,0,-1.29,18.2
10.982,4.31,-4.9,11.38
11.015,3.18,-4.35,14.98
11.048,-8.12,-5.77,11.45
11.087,-1.8,-6.67,7.53
11.118,-0.86,-0.98,10.4
11.152,-1.14,-0.51,8
11.179,0.39,-3.41,7.69
11.234,-4.43,-1.65,9.73
11.302,-1.53,-0.31,4.43
11.37,-3.45,-1.14,6.51
11.416,-3.49,-0.98,8.08
11.445,-2,-1.02,8.71
11.447,0.08,-0.2,6.2
11.449,-2.75,0.78,8.08
11.469,-4.24,-3.49,13.93
11.494,-2.71,-2.28,12.36
11.527,-2.71,1.53,12.04
11.567,-6.59,-3.49,14.98
11.639,-9.73,1.65,8.04
11.67,-8.63,2.79,10.08
11.705,-4.98,-5.65,12.4
11.739,-3.61,0.35,5.14
11.771,1.77,-2.82,3.96
11.803,-0.86,-2.24,6.35
11.838,-0.47,-1.84,4.71
11.874,0.39,-2.71,6.75
11.918,1.22,-3.8,8.04
11.95,1.84,-3.53,8.47
11.984,1.49,-1.96,12.59
12.01,-0.12,-1.8,19.1
12.042,3.92,-5.02,11.3
12.058,3.26,-5.57,13.73
12.094,-2.9,-2,12.71
12.129,-5.88,-8.59,11.41
12.162,-3.92,-3.84,9.06
12.197,0.47,-0.43,8.63
12.234,-1.14,-1.37,7.92
12.268,-1.96,-2.59,9.14
12.3,0.08,-1.18,5.73
12.332,-4.98,-0.43,6.79
12.359,-4.04,-0.12,7.65
12.4,-2.51,-1.33,7.34
12.426,-1.69,-1.22,6.75
12.459,-2.75,-0.55,8.28
12.475,-4.12,-0.43,10.32
12.508,-3.57,-2.35,13.22
12.542,-1.33,-1.73,12.16
12.578,-3.57,2.86,13.1
12.611,-4.39,-1.73,13.93
12.646,-7.18,-1.26,10.83
12.682,-8.16,2.55,5.53
12.715,-6.83,-2.63,11.92
12.791,-2.63,-8.43,14.91
12.856,-5.14,-3.14,11.69
12.915,-4.04,1.33,5.3
12.943,0.12,-1.26,3.77
12.955,0.35,-2.24,7.26
12.988,1.8,-3.57,8.12
13.024,2.08,-1.84,10.71
13.098,2.43,-1.37,16.48
13.167,-1.69,-1.69,16.48
13.296,4.08,-4.82,12.59
13.327,2.2,-3.88,15.53
13.331,-6.83,-7.96,11.41
13.35,-2.98,-1.65,8.63
13.384,-2.2,-1.02,5.33
13.418,-3.8,-0.98,8.08
13.455,-4.39,-0.71,7.81
13.49,-2.79,-0.82,7.73
13.519,-1.57,-1.14,7.02
13.556,-3.06,0.59,9.81
13.569,-3.53,-0.94,11.1
13.615,-3.45,-3.06,13.45
13.646,-3.26,-2.39,12.75
13.67,-5.81,0.67,14.47
13.689,-4.35,-1.41,14.87
13.722,-6.98,-1.45,11.49
13.757,-6.39,2.43,7.69
13.794,-6.59,-2.67,11.89
13.826,-2.31,-7.61,14.28
13.859,-5.37,-3.41,11.1
13.894,-2.47,-0.86,5.96
13.928,-1.18,-1.49,4.12
13.963,-0.98,-2.47,6.67
13.996,0.16,-2.31,6.12
14.072,0.43,-2.43,5.61
14.144,1.65,-3.53,7.69
14.199,2,-1.84,10.63
14.217,2.24,-1.92,16.08
14.219,1.22,-2,15.97
14.22,3.8,-4.55,12.28
14.254,1.06,-7.02,16.87
14.286,-7.41,-8.67,11.61
14.304,-1.37,-5.33,5.73
14.334,-0.43,-1.02,8.94
14.36,-0.82,-0.94,8.59
14.393,-1.84,-2.39,8.63
14.427,-4.79,-1.26,9.38
14.46,-4.08,-0.86,5.77
14.497,-2.9,-1.02,7.3
14.531,-2.86,-0.9,7.92
14.564,-0.86,-0.98,8.36
14.585,-2.12,-0.27,7.61
14.63,-3.37,0.59,8.43
14.648,-4.43,-1.1,11.49
14.683,-5.06,-3.41,14.16
14.719,-2.47,-2.86,12.55
14.752,-5.1,2.43,13.61
14.788,-4.79,-4.12,13.69
14.821,-8.55,0.86,8.67
14.854,-5.18,3.02,7.34
14.886,-6.94,-3.53,12.47
14.965,-1.1,-7.73,13.38
15.031,-4.82,-4.12,11.53
15.1,-2.55,-0.98,4.63
15.144,0.78,-2.82,4.55
15.168,-0.94,-1.96,6.94
15.17,1.57,-2.59,7.57
15.19,1.45,-2.12,11.53
15.226,-0.04,-2.24,18.83
15.259,2.08,-4.71,12.63
15.294,4.9,-4.82,12.91
15.653,0.86,-0.9,12.4
16.141,-6.47,-8.98,10
16.164,-4,-8.08,11.41
16.165,0.75,-1.49,11.49
16.184,-1.18,0.82,6.04
16.203,0.35,-1.96,6.86
16.229,1.88,-2.55,7.69
16.262,2.16,-3.14,9.65
16.297,1.49,-2.47,14.51
16.335,-0.27,-1.8,17.65
16.367,4.16,-5.14,12.71
16.401,1.22,-5.84,15.06
16.429,-7.49,-6.55,12.24
16.446,-1.92,-6.43,6.71
16.477,-2.75,-1.88,10.04
16.514,-0.55,-0.86,8.71
16.547,-1.45,-1.96,7.96
16.581,-2.31,-1.57,6.86
16.652,-2.43,-1.06,4.98
16.718,-3.84,-1.77,8.12
16.748,-2.79,-0.63,7.77
16.763,-2.47,0,7.1
16.828,-4,0.24,8.9
16.893,-2.39,-3.92,13.85
16.961,-2.31,0.12,11.26
17.001,-8.94,2.43,15.53
17.025,-6.39,-3.88,15.06
17.041,-4.75,-5.3,13.61
17.078,-3.61,-5.69,13.3
17.11,-1.49,-1.29,7.81
17.142,-3.92,0.78,3.96
17.159,1.1,-2.98,4.16
17.185,-0.55,-2.31,5.88
17.22,-0.04,-2.59,5.06
17.25,0.51,-1.92,5.88
17.286,1.37,-2.47,7.34
17.32,1.73,-3.37,9.38
17.352,1.73,-2.24,13.38
17.385,0.67,-1.26,18.83
17.422,3.14,-4.43,13.1
17.456,5.18,-3.92,14.4
17.493,-2.35,-2.9,12.04
17.522,-8.67,-9.38,11.92
17.558,-5.49,-2.94,12.98
17.593,2.82,-1.33,5.53
17.623,-3.1,0.04,6.35
17.654,-0.71,-1.02,8.39
17.673,-3.57,-1.49,8.67
17.708,-3.77,-1.22,6.55
17.73,-2.79,-1.06,6.71
17.767,-4.31,-1.53,8.71
17.8,-0.71,-0.51,7.45
17.834,-3.22,0.43,9.22
17.914,-2.75,-0.47,9.81
17.981,-4.86,-2.55,13.49
18.03,-2.12,-3.61,12.24
18.059,-4.31,1.65,12.24
18.061,-8.36,-4.31,12.04
18.062,-8.94,2.43,6.39
18.088,-5.45,-3.14,11.14
18.121,-3.22,-7.57,12.83
18.158,-4.75,-3.92,13.73
18.192,-1.1,-0.67,8.28
18.224,-3.49,0.35,5.26
18.257,1.22,-3.53,4.79
18.29,0.2,-2.59,5.33
18.329,0.2,-2.67,5.14
18.348,0.43,-2.39,5.96
18.365,0.63,-1.33,6.86
18.398,2.67,-1.88,8.87
18.432,1.92,-3.06,14.16
18.468,0.51,-2.43,18.32
18.501,1.49,-2.08,14.87
18.534,2.82,-5.57,14.2
18.57,-2.67,-3.26,13.77
18.607,-5.06,-9.85,10.51
18.683,-3.53,-3.49,7.85
18.757,-1.92,-0.98,7.45
18.821,-1.33,-2.28,8.83
18.859,-2.35,-1.18,7.57
18.862,-0.39,-1.88,4.98
18.893,-1.45,-1.29,7.77
18.927,-1.53,-0.08,7.45
18.962,-3.41,0.04,9.1
18.996,-4.39,-1.84,12.12
19.028,-2,-4,13.42
19.052,-5.84,3.57,12.32
19.076,-5.45,1.65,14.28
19.111,-7.22,-4.47,15.1
19.183,-9.61,1.84,7.3
19.221,-4,-1.92,9.18
19.257,-2.55,-6.47,11.61
19.315,-3.26,-5.73,13.53
19.344,-0.24,-3.1,6.39
19.382,-0.59,-2.12,5.65
19.402,0.39,-3.3,5.06
